[00:00.00]  There
[00:00.30]  is
[00:00.58]  a
[00:00.64]  bunch
[00:00.90]  of
[00:01.16]  green
[00:01.40]  stuff
[00:01.66]  sitting
[00:01.96]  in
[00:02.14]  the
[00:02.28]  grocery
[00:02.68]  store
[00:02.86]  right
[00:03.16]  now
[00:03.54]  for
[00:03.76]  about
[00:04.08]  $2.
[00:04.86]  The
[00:05.00]  same
[00:05.34]  herb
[00:05.56]  you
[00:05.78]  throw
[00:05.98]  on
[00:06.18]  roast
[00:06.40]  potatoes
[00:06.92]  and
[00:07.50]  steeped
[00:07.90]  in
[00:07.94]  a
[00:08.12]  glass
[00:08.24]  of
[00:08.50]  plain
[00:08.64]  water
[00:09.02]  and
[00:09.32]  drunk
[00:09.54]  at
[00:09.78]  one
[00:10.02]  specific
[00:10.50]  hour
[00:10.72]  of
[00:10.88]  the
[00:11.04]  morning,
[00:11.82]  it
[00:11.92]  does
[00:12.12]  more
[00:12.44]  for
[00:12.74]  dull,
[00:13.28]  tired,
[00:13.94]  over
[00:14.18]  60
[00:14.52]  skin
[00:14.90]  than
[00:15.36]  a
[00:15.70]  $60
[00:16.14]  beauty
[00:16.70]  collagen
[00:17.10]  water
[00:17.74]  does
[00:18.06]  in
[00:18.30]  a
[00:18.48]  year.
[00:19.06]  And
[00:19.24]  I
[00:19.34]  know
[00:19.56]  exactly
[00:19.98]  how
[00:20.14]  that
[00:20.38]  sounds,
[00:20.90]  believe
[00:21.12]  me,
[00:21.34]  I
[00:21.56]  do.
[00:22.20]  I
[00:22.44]  said
[00:22.62]  something
[00:23.00]  close
[00:23.30]  to
[00:23.46]  it
[00:23.68]  out
[00:23.92]  loud
[00:24.06]  to
[00:24.32]  a
[00:24.44]  colleague
[00:24.64]  once
[00:25.00]  and
[00:25.52]  watched
[00:25.80]  his
[00:26.10]  eyebrow
[00:26.44]  go
[00:26.70]  up.
[00:26.92]  But
[00:27.12]  here's
[00:27.46]  the
[00:27.60]  part
[00:27.74]  that
[00:28.06]  almost
[00:28.50]  nobody
[00:28.84]  gets
[00:29.14]  right,
[00:29.82]  and
[00:29.88]  it's
[00:30.06]  the
[00:30.20]  reason
[00:30.44]  this
[00:30.78]  quietly
[00:31.18]  changes
[00:31.58]  some
[00:31.84]  people's
[00:32.22]  skin
[00:32.48]  and
[00:32.96]  does
[00:33.24]  absolutely
[00:33.80]  nothing
[00:34.20]  for
[00:34.44]  others.
[00:35.20]  That
[00:35.58]  dullness,
[00:36.42]  those
[00:36.80]  tired
[00:37.18]  looking
[00:37.56]  spots,
[00:38.46]  that
[00:38.70]  skin
[00:39.00]  that
[00:39.18]  just
[00:39.42]  doesn't
[00:39.76]  quite
[00:40.02]  bounce
[00:40.34]  back
[00:40.58]  the
[00:40.74]  way
[00:40.90]  it
[00:41.06]  used
[00:41.24]  to,
[00:41.76]  that
[00:41.98]  is
[00:42.18]  not
